name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
A Monster Calls,5,1,2017,7.5,83000,J.A. Bayona,Patrick Ness,Lewis MacDougall,52,43000000,47309313,Participant,108,4309313,0
Anthropoid,6,0,2016,7.2,45000,Sean Ellis,Sean Ellis,Jamie Dornan,10,52211949,5079219,LD Entertainment,120,-47132730,0
Kubo and the Two Strings,4,2,2016,7.8,121000,Travis Knight,Marc Haimes,Charlize Theron,53,60000000,76249438,Focus Features,101,16249438,0
Café Society,5,4,2016,6.6,73000,Woody Allen,Woody Allen,Jesse Eisenberg,53,30000000,43763247,Gravier Productions,96,13763247,3
Blair Witch,6,9,2016,5.0,43000,Adam Wingard,Simon Barrett,James Allen McCune,6,5000000,45173154,Lionsgate,89,40173154,3
The Salesman,5,6,2016,7.8,54000,Asghar Farhadi,Asghar Farhadi,Shahab Hosseini,22,52211949,6953604,ARTE,124,-45258345,0
In a Valley of Violence,6,0,2016,6.0,17000,Ti West,Ti West,Ethan Hawke,53,52211949,61797,Blumhouse Productions,104,-52150152,0
Ratchet & Clank,4,2,2016,5.6,10000,Kevin Munroe,T.J. Fixman,James Arnold Taylor,17,20000000,13385737,Gramercy Pictures (I),94,-6614263,1
Risen,5,0,2016,6.3,26000,Kevin Reynolds,Kevin Reynolds,Joseph Fiennes,53,20000000,46771565,LD Entertainment,107,26771565,0
Rules Don't Apply,5,4,2016,5.7,10000,Warren Beatty,Warren Beatty,Lily Collins,53,25000000,3885342,New Regency Productions,127,-21114658,0
Office Christmas Party,6,4,2016,5.9,72000,Josh Gordon,Jon Lucas,Jason Bateman,53,45000000,114501299,DreamWorks,105,69501299,0
Better Watch Out,6,4,2017,6.5,33000,Chris Peckover,Zack Kahn,Olivia DeJonge,2,55224657,176288,Storm Vision Entertainment,89,-55048369,0
Florence Foster Jenkins,5,3,2016,6.8,52000,Stephen Frears,Nicholas Martin,Meryl Streep,52,29000000,49052787,Pathé,111,20052787,0
Batman: The Killing Joke,6,2,2016,6.4,52000,Sam Liu,Brian Azzarello,Kevin Conroy,53,3500000,4462034,Warner Bros. Animation,76,962034,3
Leap!,4,2,2017,6.8,21000,Directors,Eric Summer,Elle Fanning,14,30000000,106127278,Quad Productions,89,76127278,0
The Untamed,3,6,2017,6.1,5000,Amat Escalante,Amat Escalante,Ruth Ramos,31,55224657,61249,Mantarraya Producciones,98,-55163408,0
A Hologram for the King,6,4,2016,6.1,42000,Tom Tykwer,Dave Eggers,Tom Hanks,52,30000000,9169507,X-Filme Creative Pool,98,-20830493,3
Ouija: Origin of Evil,5,6,2016,6.1,56000,Mike Flanagan,Mike Flanagan,Elizabeth Reaser,53,9000000,81705746,Universal Pictures,99,72705746,3
All I See Is You,6,6,2017,5.4,11000,Marc Forster,Sean Conway,Blake Lively,53,30000000,678150,2DUX²,109,-29321850,3
The Forest,5,9,2016,4.8,41000,Jason Zada,Nick Antosca,Natalie Dormer,53,10000000,39712000,AI-Film,93,29712000,3
Money Monster,6,5,2016,6.5,96000,Jodie Foster,Jamie Linden,George Clooney,53,27000000,93282604,TriStar Pictures,98,66282604,3
Monster Trucks,4,2,2017,5.7,16000,Chris Wedge,Derek Connolly,Lucas Till,6,125000000,64493915,Paramount Pictures,104,-60506085,0
The Hollars,5,4,2016,6.6,12000,John Krasinski,Jim Strouse,Sharlto Copley,53,3800000,1138609,Sycamore Pictures,88,-2661391,3
Fifty Shades of Black,6,4,2016,3.5,20000,Michael Tiddes,Marlon Wayans,Marlon Wayans,53,5000000,22227514,Fermion Films,92,17227514,1
Toni Erdmann,6,4,2016,7.4,46000,Maren Ade,Maren Ade,Sandra Hüller,15,52211949,11784207,Komplizen Film,162,-40427742,0
Their Finest,6,4,2017,6.8,19000,Lone Scherfig,Lissa Evans,Gemma Arterton,52,55224657,12597262,BBC Films,117,-42627395,0
My Big Fat Greek Wedding 2,5,4,2016,6.0,29000,Kirk Jones,Nia Vardalos,Nia Vardalos,53,18000000,90632641,Gold Circle Films,94,72632641,3
Billy Lynn's Long Halftime Walk,6,0,2016,6.2,22000,Ang Lee,Ben Fountain,Joe Alwyn,52,40000000,30930984,Bona Film Group,113,-9069016,0
