name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
Velvet Goldmine,6,6,1998,7.0,34000,Todd Haynes,James Lyons,Ewan McGregor,52,35960134,1053788,Channel Four Films,118,-34906346,3
Following,6,5,1999,7.5,89000,Christopher Nolan,Christopher Nolan,Jeremy Theobald,52,6000,48482,Next Wave Films,69,42482,3
I Stand Alone,3,5,1999,7.4,22000,Gaspar Noé,Gaspar Noé,Philippe Nahon,14,40684322,6955,Canal+,93,-40677367,0
Great Expectations,6,6,1998,6.8,52000,Alfonso Cuarón,Charles Dickens,Ethan Hawke,53,25000000,55494066,Art Linson Productions,111,30494066,3
The Avengers,5,0,1998,3.8,41000,Jeremiah S. Chechik,Sydney Newman,Ralph Fiennes,53,60000000,23384939,Warner Bros.,89,-36615061,1
The Legend of 1900,6,6,1998,8.1,60000,Giuseppe Tornatore,Alessandro Baricco,Tim Roth,25,9000000,21057208,Sciarlò,169,12057208,0
I Still Know What You Did Last Summer,6,9,1998,4.7,70000,Danny Cannon,Lois Duncan,Jennifer Love Hewitt,53,65000000,40002112,Columbia Pictures,100,-24997888,3
The Siege,6,0,1998,6.4,70000,Edward Zwick,Lawrence Wright,Denzel Washington,53,70000000,116672912,Twentieth Century Fox,116,46672912,0
Soldier,6,0,1998,6.0,53000,Paul W.S. Anderson,David Webb Peoples,Kurt Russell,53,60000000,14594226,Warner Bros.,99,-45405774,1
A Night at the Roxbury,5,4,1998,6.2,58000,John Fortenberry,Steve Koren,Chris Kattan,53,17000000,30331165,Broadway Pictures,82,13331165,1
Why Do Fools Fall in Love,6,3,1998,6.4,3900,Gregory Nava,Tina Andrews,Halle Berry,53,35960134,12461773,Rhino Films,116,-23498361,3
The X Files,5,6,1998,7.0,103000,Rob Bowman,Chris Carter,David Duchovny,53,66000000,189176423,Twentieth Century Fox,121,123176423,0
BASEketball,6,4,1998,6.5,58000,David Zucker,David Zucker,Trey Parker,53,25000000,7027290,Zucker Brothers Productions,103,-17972710,3
Six-String Samurai,5,0,1998,6.6,7000,Lance Mungia,Jeffrey Falcon,Jeffrey Falcon,53,2000000,146125,HSX Films,91,-1853875,1
SLC Punk!,6,4,1999,7.4,26000,James Merendino,James Merendino,Matthew Lillard,53,40684322,299569,Beyond Films,97,-40384753,3
The Replacement Killers,6,0,1998,6.2,28000,Antoine Fuqua,Ken Sanzel,Chow Yun-Fat,53,30000000,19204929,Columbia Pictures,87,-10795071,1
Croupier,3,5,2000,7.1,20000,Mike Hodges,Paul Mayersberg,Clive Owen,23,39526506,7120568,ARTE,94,-32405938,1
Bulworth,6,4,1998,6.8,25000,Warren Beatty,Warren Beatty,Warren Beatty,53,30000000,29202884,Twentieth Century Fox,108,-797116,3
Dirty Work,5,4,1998,6.4,24000,Bob Saget,Frank Sebastiano,Norm MacDonald,6,13000000,10023282,Metro-Goldwyn-Mayer (MGM),82,-2976718,3
Apt Pupil,6,5,1998,6.7,37000,Bryan Singer,Stephen King,Ian McKellen,53,14000000,8863193,Phoenix Pictures,111,-5136807,3
Doctor Dolittle,5,4,1998,5.4,93000,Betty Thomas,Hugh Lofting,Eddie Murphy,53,71500000,294456605,Twentieth Century Fox,85,222956605,1
Species II,6,0,1998,4.4,28000,Peter Medak,Dennis Feldman,Natasha Henstridge,53,35960134,19221939,Metro-Goldwyn-Mayer (MGM),93,-16738195,1
Celebrity,6,4,1998,6.3,25000,Woody Allen,Woody Allen,Kenneth Branagh,53,12000000,5078660,Sweetland Films,113,-6921340,3
Very Bad Things,6,4,1998,6.3,46000,Peter Berg,Peter Berg,Christian Slater,53,30000000,9898412,Initial Entertainment Group (IEG),100,-20101588,3
Madeline,4,4,1998,6.0,7000,Daisy von Scherler Mayer,Ludwig Bemelmans,Frances McDormand,14,35960134,29967750,Jaffilms,88,-5992384,1
The Last Days of Disco,6,4,1998,6.7,12000,Whit Stillman,Whit Stillman,Chloë Sevigny,53,8000000,3020601,Castle Rock Entertainment,113,-4979399,3
The Big Hit,6,0,1998,6.1,29000,Kirk Wong,Ben Ramsey,Mark Wahlberg,53,13000000,27007143,TriStar Pictures,91,14007143,1
Blues Brothers 2000,5,0,1998,4.9,32000,John Landis,Dan Aykroyd,Dan Aykroyd,53,28000000,14051384,Universal Pictures,123,-13948616,1
Gods and Monsters,6,3,1998,7.4,30000,Bill Condon,Christopher Bram,Ian McKellen,53,10000000,6451628,Lions Gate Films,105,-3548372,3
The Red Violin,6,6,1999,7.6,32000,François Girard,Don McKellar,Carlo Cecchi,6,18000000,10019109,Rhombus Media,130,-7980891,0
Mighty Joe Young,4,0,1998,5.7,28000,Ron Underwood,Merian C. Cooper,Bill Paxton,53,90000000,50632037,RKO Pictures,114,-39367963,1
The Object of My Affection,6,4,1998,6.0,19000,Nicholas Hytner,Stephen McCauley,Jennifer Aniston,53,15000000,46905889,Twentieth Century Fox,111,31905889,3
Twilight,6,5,1998,6.2,11000,Robert Benton,Robert Benton,Paul Newman,53,37000000,15055091,Cinehaus,94,-21944909,3
Pokémon: The First Movie - Mewtwo Strikes Back,1,2,1999,6.3,41000,Kunihiko Yuyama,Satoshi Tajiri,Veronica Taylor,27,30000000,163644662,Oriental Light and Magic (OLM),96,133644662,1
Belly,6,5,1998,6.2,10000,Hype Williams,Anthony Bodden,Nas,26,3000000,9639390,Big Dog Films,96,6639390,3
Les Misérables,5,5,1998,7.4,39000,Bille August,Victor Hugo,Liam Neeson,52,35960134,14096321,Mandalay Entertainment,134,-21863813,0
Waking Ned Devine,4,4,1999,7.4,26000,Kirk Jones,Kirk Jones,Ian Bannen,52,3000000,55257450,Tomboy Films,91,52257450,3
Babe: Pig in the City,4,1,1998,5.8,32000,George Miller,George Miller,Magda Szubanski,2,90000000,69131860,Kennedy Miller Productions,97,-20868140,0
Eternity and a Day,10,6,1999,7.9,11000,Theodoros Angelopoulos,Theodoros Angelopoulos,Bruno Ganz,14,40684322,107178,Paradis Films,137,-40577144,3
Primary Colors,6,4,1998,6.7,28000,Mike Nichols,Joe Klein,John Travolta,52,65000000,52090187,Award Entertainment,143,-12909813,0
Quest for Camelot,1,2,1998,6.3,16000,Frederik Du Chau,Vera Chapman,Jessalyn Gilsig,53,40000000,22510798,Warner Bros.,86,-17489202,1
Show Me Love,3,4,1998,7.5,50000,Lukas Moodysson,Lukas Moodysson,Alexandra Dahlström,46,35960134,219331,Memfis Film,89,-35740803,1
Hard Rain,6,0,1998,5.9,33000,Mikael Salomon,Graham Yost,Morgan Freeman,53,70000000,19870567,British Broadcasting Corporation (BBC) Television,97,-50129433,1
Strike!,5,4,1998,6.7,6700,Sarah Kernochan,Sarah Kernochan,Kirsten Dunst,6,35960134,913834,Alliance Communications Corporation,97,-35046300,3
The Mighty,5,4,1998,7.3,13000,Peter Chelsom,Rodman Philbrick,Kieran Culkin,53,35960134,2652246,Chaos Productions,100,-33307888,3
Wrongfully Accused,5,0,1998,6.1,24000,Pat Proft,Pat Proft,Leslie Nielsen,15,35960134,9623329,Morgan Creek Entertainment,87,-26336805,1
New Rose Hotel,6,6,1999,5.1,4700,Abel Ferrara,William Gibson,Christopher Walken,53,40684322,21521,Pressman Film,93,-40662801,3
Simon Birch,4,4,1998,6.9,21000,Mark Steven Johnson,Mark Steven Johnson,Ian Michael Smith,53,30000000,18253415,Hollywood Pictures,114,-11746585,3
Thursday,6,0,1998,7.2,18000,Skip Woods,Skip Woods,Thomas Jane,53,35960134,3121,Polygram Filmed Entertainment,87,-35957013,1
"Crna macka, beli macor",6,4,1998,8.1,52000,Emir Kusturica,Gordan Mihic,Bajram Severdzan,12,35960134,351447,CiBy 2000,127,-35608687,0
Dance with Me,4,6,1998,5.9,6000,Randa Haines,Daryl Matthews,Vanessa Williams,53,35960134,15923122,Mandalay Entertainment,126,-20037012,3
Jack Frost,4,4,1998,5.4,34000,Troy Miller,Mark Steven Johnson,Michael Keaton,53,85000000,34562556,Warner Bros.,101,-50437444,1
Hush,5,6,1998,5.5,11000,Jonathan Darby,Jonathan Darby,Jessica Lange,53,21000000,13583690,TriStar Pictures,96,-7416310,3
How Stella Got Her Groove Back,6,4,1998,5.7,7100,Kevin Rodney Sullivan,Terry McMillan,Angela Bassett,53,20000000,39278722,Twentieth Century Fox,124,19278722,3
Almost Heroes,5,1,1998,5.8,16000,Christopher Guest,Mark Nutter,Chris Farley,53,30000000,6136856,Turner Pictures (I),90,-23863144,1
Major League: Back to the Minors,5,4,1998,4.7,7200,John Warren,David S. Ward,Scott Bakula,53,18000000,3572443,Morgan Creek Entertainment,100,-14427557,1
High Art,6,6,1998,6.6,9900,Lisa Cholodenko,Lisa Cholodenko,Radha Mitchell,53,35960134,1960216,391 Productions,101,-33999918,3
A Civil Action,5,6,1999,6.6,28000,Steven Zaillian,Jonathan Harr,John Travolta,53,75000000,56709981,Touchstone Pictures,115,-18290019,3
Playing by Heart,6,4,1999,7.0,19000,Willard Carroll,Willard Carroll,Gillian Anderson,53,20000000,3970078,Hyperion Pictures,121,-16029922,3
The Rugrats Movie,1,2,1998,5.9,18000,Igor Kovalyov,David N. Weiss,Elizabeth Daily,53,24000000,140894675,Paramount Pictures,79,116894675,1
The Players Club,6,4,1998,5.9,6400,Ice Cube,Ice Cube,LisaRaye McCoy,53,4500000,23261485,New Line Cinema,104,18761485,3
Dead Man on Campus,6,4,1998,6.0,14000,Alan Cohn,Anthony Abrams,Tom Everett Scott,53,14000000,15064946,Paramount Pictures,96,1064946,3
Senseless,6,4,1998,6.1,14000,Penelope Spheeris,Greg Erb,Marlon Wayans,53,15000000,12874899,Dimension Films,93,-2125101,3
Black Dog,5,0,1998,5.4,8600,Kevin Hooks,William Mickelberry,Patrick Swayze,53,30000000,12951088,Universal Pictures,89,-17048912,1
Dangerous Beauty,6,3,1998,7.2,16000,Marshall Herskovitz,Margaret Rosenthal,Catherine McCormack,53,8000000,4553271,New Regency Productions,111,-3446729,3
The Newton Boys,5,0,1998,6.1,11000,Richard Linklater,Claude Stanush,Matthew McConaughey,53,27000000,10452012,Twentieth Century Fox,122,-16547988,1
Central Station,6,6,1998,8.0,37000,Walter Salles,Marcos Bernstein,Fernanda Montenegro,5,2900000,5971073,"Audiovisual Development Bureau, Ministerio da Cultura",110,3071073,3
Pecker,6,4,1998,6.4,14000,John Waters,John Waters,Edward Furlong,53,6000000,2281761,Polar Entertainment,87,-3718239,3
Without Limits,5,3,1998,7.2,6700,Robert Towne,Robert Towne,Billy Crudup,53,25000000,777423,Cruise/Wagner Productions,117,-24222577,3
Wide Awake,4,4,1998,5.9,3900,M. Night Shyamalan,M. Night Shyamalan,Joseph Cross,53,6000000,282175,Miramax,88,-5717825,1
Return to Paradise,6,6,1998,6.9,14000,Joseph Ruben,Pierre Jolivet,Vince Vaughn,53,35960134,8341087,Polygram Filmed Entertainment,111,-27619047,3
Mafia!,5,4,1998,5.6,15000,Jim Abrahams,Jim Abrahams,Jay Mohr,53,10000000,19889299,Tapestry Films,87,9889299,1
Desperate Measures,6,0,1998,6.1,16000,Barbet Schroeder,David Klass,Michael Keaton,53,50000000,13806137,Mandalay Entertainment,100,-36193863,1
I Want You,6,5,1998,6.1,2900,Michael Winterbottom,Eoin McNamee,Rachel Weisz,52,35960134,1672,Polygram Filmed Entertainment,87,-35958462,3
Hideous Kinky,6,1,1999,6.1,6400,Gillies MacKinnon,Esther Freud,Kate Winslet,52,12000000,1263279,AMLF,98,-10736721,1
Phantoms,6,9,1998,5.4,20000,Joe Chappelle,Dean R. Koontz,Peter O'Toole,53,35960134,5624282,Miramax,96,-30335852,3
Smoke Signals,5,4,1998,7.2,9900,Chris Eyre,Sherman Alexie,Adam Beach,53,2000000,6745362,ShadowCatcher Entertainment,89,4745362,3
Beloved,6,6,1998,6.0,7200,Jonathan Demme,Toni Morrison,Oprah Winfrey,53,80000000,22852487,Harpo Films,172,-57147513,0
3 Ninjas: High Noon at Mega Mountain,4,0,1998,3.0,11000,Sean McNamara,Sean McNamara,Loni Anderson,53,35960134,375805,Leeds/Ben-Ami Productions,93,-35584329,1
Lovers of the Arctic Circle,6,6,1998,7.7,18000,Julio Medem,Julio Medem,Najwa Nimri,45,35960134,357549,Canal+,112,-35602585,3
One True Thing,6,6,1998,7.0,12000,Carl Franklin,Anna Quindlen,Meryl Streep,53,30000000,26616840,Monarch Pictures,127,-3383160,3
Firestorm,6,0,1998,4.8,3800,Dean Semler,Chris Soth,Howie Long,53,19000000,8165212,Twentieth Century Fox,89,-10834788,1
Slums of Beverly Hills,6,4,1998,6.6,12000,Tamara Jenkins,Tamara Jenkins,Natasha Lyonne,53,5000000,5502773,Fox Searchlight Pictures,91,502773,3
Palmetto,6,5,1998,6.1,7600,Volker Schlöndorff,James Hadley Chase,Woody Harrelson,15,35960134,5878911,Castle Rock Entertainment,114,-30081223,3
Strangeland,6,9,1998,5.1,6700,John Pieplow,Dee Snider,Kevin Gage,53,1100000,713239,Shooting Gallery,85,-386761,3
Le Dîner de Cons,5,4,1998,7.7,38000,Francis Veber,Francis Veber,Thierry Lhermitte,14,35960134,4071548,Gaumont,80,-31888586,3
Paulie,4,1,1998,6.5,15000,John Roberts,Laurie Craig,Gena Rowlands,53,23000000,26875268,Dreamworks Pictures,91,3875268,1
After Life,3,6,1999,7.6,11000,Hirokazu Koreeda,Hirokazu Koreeda,Arata Iura,27,40684322,801985,Engine Film,119,-39882337,0
Barney's Great Adventure,1,1,1998,3.2,3200,Steve Gomer,Stephen White,George Hearn,6,15000000,12218638,Polygram Filmed Entertainment,76,-2781362,1
Permanent Midnight,6,3,1999,6.2,7100,David Veloz,Jerry Stahl,Ben Stiller,53,40684322,1171001,JD Productions,88,-39513321,3
Meet the Deedles,4,4,1998,4.1,2700,Steve Boyum,Jim Herzfeld,Paul Walker,53,24000000,4356216,DIC Entertainment,93,-19643784,1
The Gingerbread Man,6,5,1998,5.7,11000,Robert Altman,John Grisham,Kenneth Branagh,53,25000000,1677131,Enchanter Entertainment,114,-23322869,3
Savior,6,6,1998,7.3,11000,Predrag Antonijevic,Robert Orr,Dennis Quaid,53,10000000,14328,Initial Entertainment Group (IEG),103,-9985672,3
Little Voice,6,4,1998,7.0,16000,Mark Herman,Jim Cartwright,Brenda Blethyn,52,35960134,4611784,Miramax,97,-31348350,3
The Odd Couple II,5,1,1998,6.5,9400,Howard Deutch,Neil Simon,Jack Lemmon,53,35960134,18912328,Paramount Pictures,97,-17047806,1
Spriggan,6,2,1998,6.6,3600,Hirotsugu Kawasaki,Yasutaka Itô,Shôtarô Morikubo,27,35960134,25824,Bandai Visual Company,90,-35934310,3
Besieged,6,6,1999,6.9,4700,Bernardo Bertolucci,Clare Peploe,Thandiwe Newton,25,40684322,2048740,Fiction,93,-38635582,3
Clay Pigeons,6,4,1998,6.6,11000,David Dobkin,Matthew L. Healy,Joaquin Phoenix,53,8000000,1794086,Fade In Films,104,-6205914,3
Knock Off,6,0,1998,4.9,14000,Hark Tsui,Steven E. de Souza,Jean-Claude Van Damme,1,30000000,10319915,Knock Films A.V.V.,91,-19680085,1
I'll Be Home for Christmas,4,4,1998,5.5,9600,Arlene Sanford,Tom Nursall,Jonathan Taylor Thomas,53,30000000,12214338,Walt Disney Pictures,86,-17785662,1
Edge of Seventeen,3,4,2000,6.8,6000,David Moreton,Todd Stephens,Chris Stafford,53,700000,871759,Blue Streak Films,99,171759,1
My Giant,4,4,1998,5.0,6600,Michael Lehmann,Billy Crystal,Billy Crystal,53,35960134,8072007,Castle Rock Entertainment,103,-27888127,1
Ringmaster,6,4,1998,3.2,4900,Neil Abramson,Jon Bernstein,Jerry Springer,53,20000000,9257103,Artisan Entertainment,90,-10742897,1
The General,6,3,1998,7.3,8300,John Boorman,John Boorman,Brendan Gleeson,52,35960134,1214198,J & M,124,-34745936,3
Another Day in Paradise,6,5,1999,6.5,8400,Larry Clark,Eddie Little,James Woods,53,4500000,1036818,Chinese Bookie Pictures,101,-3463182,3
Kissing a Fool,6,4,1998,5.6,4800,Doug Ellin,James Frey,David Schwimmer,53,35960134,4106588,Largo Entertainment,93,-31853546,3
"A Cool, Dry Place",5,6,1999,6.2,2900,John N. Smith,Michael Grant Jaffe,Vince Vaughn,53,40684322,4390,Fox 2000 Pictures,97,-40679932,3
Sour Grapes,6,4,1998,5.8,2700,Larry David,Larry David,Steven Weber,53,35960134,123104,Castle Rock Entertainment,91,-35837030,3
Still Crazy,6,4,1999,7.0,7800,Brian Gibson,Dick Clement,Stephen Rea,52,40684322,524864,Columbia Pictures,95,-40159458,3
The Land Girls,6,6,1998,6.3,1900,David Leland,Angela Huth,Catherine McCormack,52,35960134,238497,Intermedia Films,111,-35721637,3
Place Vendôme,6,5,1998,6.3,2100,Nicole Garcia,Jacques Fieschi,Catherine Deneuve,14,35960134,895788,Les Films Alain Sarde,117,-35064346,3
Little Men,4,6,1998,6.3,506,Rodney Gibbons,Mark Evan Schwartz,Kathleen Fee,6,35960134,104255,Allegro Films,98,-35855879,3
Holy Man,4,4,1998,4.9,19000,Stephen Herek,Tom Schulman,Eddie Murphy,53,60000000,12069719,Caravan Pictures,114,-47930281,1
Your Friends and Neighbors,6,4,1998,6.3,7800,Neil LaBute,Neil LaBute,Amy Brenneman,53,5000000,4714658,Polygram Filmed Entertainment,100,-285342,3
Zero Effect,6,4,1998,6.9,14000,Jake Kasdan,Jake Kasdan,Bill Pullman,53,5000000,2087471,Castle Rock Entertainment,116,-2912529,3
Krippendorf's Tribe,5,4,1998,5.0,5300,Todd Holland,Frank Parkin,Richard Dreyfuss,53,35960134,7571115,Dreyfuss / James Productions,94,-28389019,1
Hell's Kitchen,6,5,2001,4.7,2500,Tony Cinciripini,Tony Cinciripini,Rosanna Arquette,53,6000000,11710,HK Film Corporation,95,-5988290,3
Homegrown,6,4,1998,5.8,4500,Stephen Gyllenhaal,Jonah Raskin,Billy Bob Thornton,53,35960134,77910,Lakeshore International,102,-35882224,3
Hurlyburly,6,4,1998,5.9,9800,Anthony Drazan,David Rabe,Sean Penn,53,15000000,1808004,FilmColony,122,-13191996,3
Home Fries,5,4,1998,5.1,8200,Dean Parisot,Vince Gilligan,Drew Barrymore,53,35000000,10493366,Baltimore Pictures,91,-24506634,1
The Matrix,6,0,1999,8.7,1700000,Lana Wachowski,Lilly Wachowski,Keanu Reeves,53,63000000,466364845,Warner Bros.,136,403364845,2
Fight Club,6,6,1999,8.8,1900000,David Fincher,Chuck Palahniuk,Brad Pitt,15,63000000,101209702,Fox 2000 Pictures,139,38209702,2
The Talented Mr. Ripley,6,5,1999,7.4,189000,Anthony Minghella,Patricia Highsmith,Matt Damon,53,40000000,128799509,Miramax,139,88799509,0
The Mummy,5,0,1999,7.0,401000,Stephen Sommers,Stephen Sommers,Brendan Fraser,53,80000000,415933406,Universal Pictures,124,335933406,2
American Pie,6,4,1999,7.0,385000,Paul Weitz,Adam Herz,Jason Biggs,53,11000000,235483004,Universal Pictures,95,224483004,0
The Green Mile,6,5,1999,8.6,1200000,Frank Darabont,Stephen King,Tom Hanks,53,60000000,286801374,Castle Rock Entertainment,189,226801374,2
American Beauty,6,6,1999,8.3,1100000,Sam Mendes,Alan Ball,Kevin Spacey,53,15000000,356296601,Dreamworks Pictures,122,341296601,2
Star Wars: Episode I - The Phantom Menace,4,0,1999,6.5,748000,George Lucas,George Lucas,Ewan McGregor,53,115000000,1027082707,Lucasfilm,136,912082707,2
10 Things I Hate About You,5,4,1999,7.3,309000,Gil Junger,Karen McCullah,Heath Ledger,53,30000000,53478579,Touchstone Pictures,97,23478579,3
The Sixth Sense,5,6,1999,8.1,930000,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,53,40000000,672806292,Hollywood Pictures,107,632806292,2
Austin Powers: the Spy Who Shagged Me,5,0,1999,6.6,221000,Jay Roach,Mike Myers,Mike Myers,53,33000000,312016928,New Line Cinema,95,279016928,0
Office Space,6,4,1999,7.7,248000,Mike Judge,Mike Judge,Ron Livingston,53,10000000,10828256,Twentieth Century Fox,89,828256,3
Galaxy Quest,4,1,1999,7.3,155000,Dean Parisot,David Howard,Tim Allen,53,45000000,90683916,Dreamworks Pictures,102,45683916,0
Notting Hill,5,4,1999,7.1,286000,Roger Michell,Richard Curtis,Hugh Grant,52,42000000,363889678,Polygram Filmed Entertainment,124,321889678,0
Cruel Intentions,6,6,1999,6.8,183000,Roger Kumble,Choderlos de Laclos,Sarah Michelle Gellar,53,10500000,76347426,Columbia Pictures,97,65847426,3
The Blair Witch Project,6,9,1999,6.5,239000,Daniel Myrick,Daniel Myrick,Heather Donahue,53,60000,248639099,Haxan Films,81,248579099,3
The Virgin Suicides,6,6,2000,7.2,147000,Sofia Coppola,Jeffrey Eugenides,Kirsten Dunst,53,9000000,10410044,American Zoetrope,97,1410044,3
Magnolia,6,6,2000,8.0,295000,Paul Thomas Anderson,Paul Thomas Anderson,Tom Cruise,53,37000000,48451803,Ghoulardi Film Company,188,11451803,0
"Girl, Interrupted",6,3,2000,7.3,169000,James Mangold,Susanna Kaysen,Winona Ryder,15,40000000,48350205,Columbia Pictures,127,8350205,0
Stuart Little,4,1,1999,5.9,128000,Rob Minkoff,E.B. White,Michael J. Fox,15,133000000,300135367,Columbia Pictures,84,167135367,0
Deep Blue Sea,6,0,1999,5.9,127000,Renny Harlin,Duncan Kennedy,Thomas Jane,53,60000000,164648142,Warner Bros.,105,104648142,0
The Boondock Saints,6,0,2000,7.8,230000,Troy Duffy,Troy Duffy,Willem Dafoe,53,6000000,30471,Franchise Pictures,108,-5969529,0
Varsity Blues,6,4,1999,6.5,43000,Brian Robbins,W. Peter Iliff,James Van Der Beek,53,16000000,54294169,MTV Films,106,38294169,3
She's All That,5,4,1999,5.9,86000,Robert Iscove,R. Lee Fleming Jr.,Freddie Prinze Jr.,53,10000000,103166989,Miramax,95,93166989,1
Sleepy Hollow,6,8,1999,7.3,338000,Tim Burton,Washington Irving,Johnny Depp,53,100000000,206071502,Paramount Pictures,105,106071502,0
Lake Placid,6,0,1999,5.7,56000,Steve Miner,David E. Kelley,Bridget Fonda,53,35000000,56870414,Fox 2000 Pictures,82,21870414,1
Toy Story 2,1,2,1999,7.9,540000,John Lasseter,John Lasseter,Tom Hanks,53,90000000,497375381,Pixar Animation Studios,92,407375381,2
Dogma,6,1,1999,7.3,210000,Kevin Smith,Kevin Smith,Ben Affleck,53,10000000,31429330,View Askew Productions,130,21429330,0
Tarzan,1,2,1999,7.3,210000,Chris Buck,Tab Murphy,Tony Goldwyn,53,130000000,448191819,Walt Disney Pictures,88,318191819,2
Election,6,4,1999,7.2,92000,Alexander Payne,Tom Perrotta,Matthew Broderick,53,25000000,14902041,Bona Fide Productions,103,-10097959,3
Being John Malkovich,6,4,1999,7.7,319000,Spike Jonze,Charlie Kaufman,John Cusack,53,13000000,23106667,Astralwerks,113,10106667,3
The Iron Giant,4,2,1999,8.0,177000,Brad Bird,Tim McCanlies,Eli Marienthal,53,70000000,23180087,Warner Bros.,86,-46819913,0
The World Is Not Enough,5,0,1999,6.4,191000,Michael Apted,Neal Purvis,Pierce Brosnan,52,135000000,361832400,Danjaq,128,226832400,0
Romance,10,6,1999,5.3,10000,Catherine Breillat,Catherine Breillat,Caroline Ducey,14,40684322,1585642,Flach Film,84,-39098680,3
Mystery Men,5,0,1999,6.1,64000,Kinka Usher,Neil Cuthbert,Ben Stiller,53,68000000,33461011,Universal Pictures,121,-34538989,0
Wild Wild West,5,0,1999,4.9,155000,Barry Sonnenfeld,Jim Thomas,Will Smith,53,170000000,222104681,Peters Entertainment,106,52104681,0
Big Daddy,5,4,1999,6.4,205000,Dennis Dugan,Steve Franks,Adam Sandler,53,34200000,234801895,Jack Giarraputo Productions,93,200601895,3
The Ninth Gate,6,12,2000,6.7,172000,Roman Polanski,Arturo Pérez-Reverte,Johnny Depp,14,38000000,58401898,Artisan Entertainment,133,20401898,3
Double Jeopardy,6,5,1999,6.5,78000,Bruce Beresford,David Weisberg,Ashley Judd,53,70000000,177841558,Paramount Pictures,105,107841558,3
The Insider,6,3,1999,7.8,163000,Michael Mann,Marie Brenner,Russell Crowe,53,90000000,60289912,Touchstone Pictures,157,-29710088,0
Deuce Bigalow: Male Gigolo,6,4,1999,5.7,72000,Mike Mitchell,Harris Goldberg,Rob Schneider,53,17000000,92938755,Happy Madison Productions,88,75938755,3
The 13th Warrior,6,0,1999,6.6,119000,John McTiernan,Michael Crichton,Antonio Banderas,53,160000000,61698899,Touchstone Pictures,102,-98301101,0
Life,6,4,1999,6.8,47000,Ted Demme,Robert Ramsey,Eddie Murphy,53,80000000,73475268,Imagine Entertainment,108,-6524732,3
End of Days,6,0,1999,5.8,107000,Peter Hyams,Andrew W. Marlowe,Arnold Schwarzenegger,53,100000000,211989043,Beacon Communications,122,111989043,0
The Thomas Crown Affair,6,5,1999,6.9,89000,John McTiernan,Alan Trustman,Pierce Brosnan,53,48000000,124305181,United Artists,113,76305181,3
Drop Dead Gorgeous,5,4,1999,6.6,34000,Michael Patrick Jann,Lona Williams,Kirsten Dunst,15,15000000,10571408,New Line Cinema,97,-4428592,3
Boys Don't Cry,6,3,2000,7.5,94000,Kimberly Peirce,Kimberly Peirce,Hilary Swank,53,2000000,11540607,Fox Searchlight Pictures,118,9540607,3
8MM,6,5,1999,6.5,127000,Joel Schumacher,Andrew Kevin Walker,Nicolas Cage,15,40000000,96618699,Columbia Pictures,123,56618699,0
House on Haunted Hill,6,5,1999,5.6,54000,William Malone,Robb White,Geoffrey Rush,53,37000000,42593455,Dark Castle Entertainment,93,5593455,3
But I'm a Cheerleader,6,4,2000,6.7,29000,Jamie Babbit,Brian Peterson,Natasha Lyonne,53,1200000,2595216,Cheerleader LLC,85,1395216,3
Never Been Kissed,5,4,1999,6.1,85000,Raja Gosnell,Abby Kohn,Drew Barrymore,53,25000000,84565230,Fox 2000 Pictures,107,59565230,3
Jawbreaker,6,4,1999,5.6,25000,Darren Stein,Darren Stein,Rose McGowan,53,3500000,3117085,Crossroads Films,87,-382915,3
The Bone Collector,6,5,1999,6.7,159000,Phillip Noyce,Jeffery Deaver,Denzel Washington,53,73000000,151493655,Columbia Pictures,118,78493655,0
Any Given Sunday,6,6,1999,6.9,114000,Oliver Stone,Daniel Pyne,Al Pacino,53,55000000,100230832,Warner Bros.,162,45230832,0
A Walk on the Moon,6,6,1999,6.6,8100,Tony Goldwyn,Pamela Gray,Diane Lane,53,14000000,4750660,Miramax,107,-9249340,3
Summer of Sam,6,5,1999,6.7,37000,Spike Lee,Spike Lee,John Leguizamo,53,22000000,19288130,Touchstone Pictures,142,-2711870,3
The Cider House Rules,5,6,2000,7.4,95000,Lasse Hallström,John Irving,Tobey Maguire,53,24000000,88545092,FilmColony,126,64545092,3
October Sky,4,3,1999,7.8,85000,Joe Johnston,Homer H. Hickam Jr.,Jake Gyllenhaal,53,25000000,34698753,Universal Pictures,108,9698753,0
The Haunting,5,8,1999,5.0,73000,Jan de Bont,David Self,Liam Neeson,53,80000000,177311151,Dreamworks Pictures,113,97311151,3
eXistenZ,6,9,1999,6.8,96000,David Cronenberg,David Cronenberg,Jude Law,52,15000000,2856712,Dimension Films,97,-12143288,3
For Love of the Game,5,6,1999,6.6,33000,Sam Raimi,Michael Shaara,Kevin Costner,53,80000000,46112640,Universal Pictures,137,-33887360,0
Bringing Out the Dead,6,6,1999,6.8,65000,Martin Scorsese,Joe Connelly,Nicolas Cage,53,55000000,16797191,De Fina-Cappa,121,-38202809,3
Three Kings,6,0,1999,7.1,163000,David O. Russell,John Ridley,George Clooney,53,75000000,107752036,Warner Bros.,114,32752036,0
Go,6,4,1999,7.2,68000,Doug Liman,John August,Sarah Polley,53,20000000,28451622,Columbia Pictures,102,8451622,3
